Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10nF,C_0805_2012Metric,114.49,-87.37,180.0,top
C_RST1,22uF,C_1206_3216Metric,118.08,-70.26,0.0,top
C_T1,220nF,C_0805_2012Metric,114.47,-75.56,0.0,top
C_T2,220nF,C_0805_2012Metric,114.52,-89.76,180.0,top
C_filter1,22uF,C_1206_3216Metric,113.3,-64.38,90.0,top
R_A1,10k,R_0805_2012Metric,114.49,-80.31,180.0,top
R_B1,1K5,R_0805_2012Metric,114.49,-78.26,180.0,top
R_IN1,1k,R_0805_2012Metric,106.6075,-60.72,180.0,top
R_RST1,150k,R_0805_2012Metric,118.6475,-73.26,180.0,top
U1,NE556DR,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,107.1225,-81.93,180.0,top
U3,MCP6021T-E/OT,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,102.73,-73.01,90.0,top
